@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute gunornot {yes,no}

@data
-24.20968,-12.91634,-1.906516,-2.320175,-19.05475,-15.16782,-6.216262,2.892136,-4.994585,-2.102532,-3.272599,14.24051,25.89337,-1.107589,-0.582253,0.454614,0.332651,0.409668,1.825933,2.990033,1.593795,-0.579497,-1.138453,1.087062,3.048412,0.018053,-0.430802,-0.134289,-1.01409,0.626409,1.894412,-0.187356,-0.904139,-1.931681,-0.666025,-0.174654,0.594866,-2.020321,0.001245,yes
-26.25027,-9.682008,-0.845125,-5.414366,-15.06491,-7.47962,5.473032,5.102156,-3.68239,-10.26301,-14.67052,-3.557027,25.95238,-1.156453,-1.772287,-1.655754,1.014782,2.207799,0.812827,1.916969,-0.162598,0.503134,1.725992,3.266524,-1.910026,0.017125,0.149391,-0.089187,-0.848351,0.362752,1.029244,-1.247422,-2.432086,-1.709196,-0.479607,0.465416,0.038432,-2.020164,-0.003171,yes
-24.55074,-12.54679,-9.476922,-4.847161,-7.608526,-15.05005,-6.972462,-13.61565,-19.97919,-2.68219,8.499474,7.056354,25.95106,-0.88268,-0.589687,-2.298106,1.785629,3.916469,-0.997658,-2.057346,-3.252441,-1.732626,-2.138108,-0.136614,-4.82777,0.008544,0.175919,0.322394,0.217673,0.036472,-0.75774,-0.632951,-1.608221,0.161692,0.716436,-0.181243,-1.085907,-1.198121,-0.004734,yes
-27.84072,-18.51671,-9.65429,0.047999,-5.007411,-11.17285,-8.577743,-5.947153,-8.621304,-0.471183,-2.219383,-11.16035,25.94703,-0.28726,-0.566523,-0.528682,1.446081,1.368319,-2.980859,-5.612461,-0.416731,-0.590195,-0.293316,-0.714212,-2.661784,-0.000911,0.270607,0.54083,0.776513,-0.826419,-1.681724,0.518852,0.146729,0.736784,0.732653,-0.127133,-0.614609,1.040178,-0.001769,yes
-27.82786,-11.44742,-8.992465,3.876789,-4.501154,-18.3095,-9.477605,-7.845412,-11.18826,-17.68898,-10.18123,-6.096681,25.93877,-0.662591,0.426835,0.979441,0.299359,-2.959292,0.558019,-1.286357,2.529321,3.549346,-1.035014,-2.352107,-2.566313,0.003399,0.353163,0.272123,0.632657,-1.100743,-1.426882,1.228779,1.242107,0.876661,0.815229,0.996412,0.320836,2.171686,0.002437,yes
-26.04801,-13.06431,-3.730764,-2.545934,-9.777002,-20.7542,-21.3367,0.13338,-11.02883,-4.226194,-8.901222,-10.28943,25.95398,0.086539,0.423601,0.588038,-2.374177,-2.762943,2.62925,2.265121,0.630439,1.52541,0.538781,1.301227,2.160134,0.010854,0.413953,0.298988,-0.061887,-0.624427,-0.167346,0.994418,1.277419,-0.832747,0.023272,0.656945,-0.41799,1.394711,0.002943,yes
-28.76005,-13.13882,-7.54148,-2.053398,-20.02019,-7.469288,-7.024768,-4.009314,-1.028693,-5.979753,0.079858,-6.210672,25.96458,0.696237,0.275865,0.306819,-1.807955,-1.15231,2.341181,0.214397,0.607278,1.285718,2.427904,0.459847,3.619699,0.014849,0.40231,-0.06142,-0.642915,0.347677,1.289368,-0.55264,-0.048723,-1.009435,-1.179432,0.30269,-1.161562,-0.157755,-0.000886,yes
-26.94193,-15.55301,-7.439593,-8.85779,-11.06261,-3.446706,1.521442,-4.713006,-6.074034,-3.631895,-0.843794,-0.302687,25.98839,1.103091,1.0039,-0.501805,-0.622394,-0.371904,1.099651,0.02426,-3.619445,0.657978,1.25995,-4.210137,1.218765,0.008078,0.076809,-0.199643,-0.701909,1.260796,0.947696,-0.996432,-0.019492,-0.479604,-0.879924,-0.58172,-1.41376,-1.375963,-0.0053,yes
-23.89972,-8.823745,-5.603957,-2.00706,-9.619903,-15.25734,-19.83469,-2.385827,-7.237063,-5.846613,-11.91071,7.00844,25.9958,0.840684,-0.170415,-1.69021,1.161851,2.292029,-1.440382,-0.409541,-0.392913,-1.914099,0.117852,-5.404235,-2.884405,0.000358,-0.304168,-0.29029,-0.168827,0.818881,0.096559,-0.663986,1.264869,-0.460721,-0.888529,-1.086732,0.350974,-1.071498,-0.00539,yes
-22.96272,-10.20234,-7.208551,-5.681076,-16.83667,-11.36192,-14.81044,-18.77559,-4.634758,2.006986,-23.95662,-10.80516,25.97876,0.398363,-0.351474,-1.922995,2.444899,0.253367,-0.462127,2.47963,-1.267484,-1.274298,-1.214793,-2.835533,-1.467631,-0.008401,-0.435554,-0.119395,0.969891,0.687208,0.389776,-0.242173,1.007339,0.356673,-0.352161,-1.360972,2.356771,0.587095,-0.001417,yes
-26.54624,-16.66623,-16.10805,2.1675,-5.673015,-10.71359,-0.906534,1.057414,-11.31883,-8.209935,-15.3849,-15.38146,25.97119,-0.472241,-0.497896,0.173276,0.752805,-0.982151,-0.19786,5.311057,-2.872308,-2.190786,-1.768385,1.527415,-0.394591,-0.003861,-0.215742,0.422372,1.698174,0.393177,0.344024,-0.1221,-0.02098,-0.178273,0.102619,-0.640926,2.432153,1.758199,0.002719,yes
-23.62685,-13.38914,-11.80252,1.279422,-11.76922,-8.029212,4.455511,-12.77205,-10.40464,-8.524199,-13.28437,3.554109,25.95869,-0.418216,0.570665,3.415906,3.018168,3.214063,-0.732474,2.200658,-0.59638,-0.964486,-4.601792,4.107895,2.909333,0.0031,-0.011584,0.350811,1.238343,-0.226047,0.780545,-0.347209,-1.380913,0.807436,0.271489,0.342184,1.293731,0.38642,0.005965,yes
-25.92886,-9.719827,-2.440592,-1.723287,-17.06438,-17.91299,-2.912382,-19.74914,-15.30605,-9.422946,-9.609765,-2.144151,25.98653,0.170263,1.480375,4.13121,2.841099,2.531799,-1.91571,-0.374954,-1.619827,-1.55591,-1.393279,3.284817,3.718108,0.008201,0.085991,0.028609,-0.48123,-0.914715,0.555052,0.378642,-2.024219,1.6603,1.535593,1.656181,-0.282553,-0.489481,0.005289,yes
-25.36249,-10.82222,3.037248,11.35516,4.929331,-11.42459,-2.804227,-11.35421,-7.463574,-20.39547,-6.304715,-2.87715,25.98659,0.019193,0.413444,2.289751,0.270517,2.399117,-1.339245,-1.581933,2.143454,-0.234289,0.308576,2.754419,-1.59188,0.015394,-0.066461,-0.418223,-1.890147,-2.122828,-1.281615,0.551959,-1.568936,1.095644,1.66825,2.225851,-1.172911,-1.846912,0.003802,yes
