@relation (null)_(null)

@attribute pcm_fftMag_mfcc[1] numeric
@attribute pcm_fftMag_mfcc[2] numeric
@attribute pcm_fftMag_mfcc[3] numeric
@attribute pcm_fftMag_mfcc[4] numeric
@attribute pcm_fftMag_mfcc[5] numeric
@attribute pcm_fftMag_mfcc[6] numeric
@attribute pcm_fftMag_mfcc[7] numeric
@attribute pcm_fftMag_mfcc[8] numeric
@attribute pcm_fftMag_mfcc[9] numeric
@attribute pcm_fftMag_mfcc[10] numeric
@attribute pcm_fftMag_mfcc[11] numeric
@attribute pcm_fftMag_mfcc[12] numeric
@attribute pcm_LOGenergy numeric
@attribute pcm_fftMag_mfcc_de[1] numeric
@attribute pcm_fftMag_mfcc_de[2] numeric
@attribute pcm_fftMag_mfcc_de[3] numeric
@attribute pcm_fftMag_mfcc_de[4] numeric
@attribute pcm_fftMag_mfcc_de[5] numeric
@attribute pcm_fftMag_mfcc_de[6] numeric
@attribute pcm_fftMag_mfcc_de[7] numeric
@attribute pcm_fftMag_mfcc_de[8] numeric
@attribute pcm_fftMag_mfcc_de[9] numeric
@attribute pcm_fftMag_mfcc_de[10] numeric
@attribute pcm_fftMag_mfcc_de[11] numeric
@attribute pcm_fftMag_mfcc_de[12] numeric
@attribute pcm_LOGenergy_de numeric
@attribute pcm_fftMag_mfcc_de_de[1] numeric
@attribute pcm_fftMag_mfcc_de_de[2] numeric
@attribute pcm_fftMag_mfcc_de_de[3] numeric
@attribute pcm_fftMag_mfcc_de_de[4] numeric
@attribute pcm_fftMag_mfcc_de_de[5] numeric
@attribute pcm_fftMag_mfcc_de_de[6] numeric
@attribute pcm_fftMag_mfcc_de_de[7] numeric
@attribute pcm_fftMag_mfcc_de_de[8] numeric
@attribute pcm_fftMag_mfcc_de_de[9] numeric
@attribute pcm_fftMag_mfcc_de_de[10] numeric
@attribute pcm_fftMag_mfcc_de_de[11] numeric
@attribute pcm_fftMag_mfcc_de_de[12] numeric
@attribute pcm_LOGenergy_de_de numeric
@attribute footstepornot {yes,no}

@data
-11.84106,-5.162468,-2.06681,4.724493,6.679139,-0.755658,-0.063139,0.648242,2.727046,-5.260458,4.967456,-5.55702,26.3114,0.640878,0.84373,1.162294,0.19603,-2.10473,0.677777,-1.096373,-4.052397,-1.327933,-0.326377,0.569679,1.232373,0.001666,0.238634,0.495704,-0.288969,-0.813877,-1.348647,0.328871,-0.473179,-1.167762,-1.220364,-1.022311,-1.86325,-0.430284,-0.003697,yes
-8.606668,-1.292553,-2.652214,4.478906,0.003155,-2.428167,-0.216776,-5.446625,-2.483133,-3.49361,0.063588,2.878785,26.31965,0.700041,0.816279,-0.539994,-1.601687,-3.464778,0.905119,-0.315327,-4.151225,-1.152312,-1.214559,-2.979204,-0.070506,-0.001863,-0.142782,-0.037211,-0.639224,-0.862379,-0.32276,0.164142,-0.269029,1.088342,-0.07429,-0.568447,-0.861174,-1.105914,-0.001336,yes
-9.362875,-1.467488,-2.798752,-0.183181,0.40713,-0.106521,-7.923285,-13.98198,-12.07047,-13.51599,-4.331115,6.661536,26.31918,0.550295,0.654595,-0.929715,-2.216893,-1.012464,1.39004,-1.472613,-0.059019,-1.378659,-1.387103,-2.850534,-1.493347,-0.000835,-0.222263,-0.342215,-0.535142,-0.272699,0.534294,-0.256045,0.273148,2.758032,1.06207,0.587118,0.227535,-1.368266,0.001938,yes
-8.505535,-1.566925,-4.959956,-4.008707,-0.635309,3.760771,-2.541545,-5.781919,1.436464,-7.496829,-5.62079,-4.277951,26.30095,-0.151933,-0.426144,-1.581461,-2.369815,-0.893859,0.579056,-0.643088,4.754764,1.809144,0.431331,0.088309,-3.630111,0.003294,-0.220585,-0.225212,0.187641,0.518532,0.492549,-0.801301,0.094104,1.313233,0.300107,0.656987,0.785001,-0.545092,0.003227,yes
-9.140155,-1.752305,-5.561515,-2.116168,1.936049,3.100071,-6.263817,0.520795,-6.12605,-10.19436,-6.443026,-9.445385,26.31658,-0.04445,-0.246134,-0.992684,-0.783402,-0.718718,-0.439418,0.433245,5.284767,2.501691,1.786267,0.173597,-3.829154,0.008776,-0.07433,0.011976,0.634604,0.838983,0.012564,-0.865364,0.320296,-1.06817,-0.270789,0.41256,0.276847,0.362525,0.00225,yes
-9.477695,-3.280867,-9.178139,-6.403676,-5.230599,-1.136184,-4.26195,11.07581,3.590375,-2.997769,1.561091,-7.218309,26.33742,-0.105511,0.140584,0.429696,0.27423,-1.148907,-2.186658,-0.797738,-0.256955,-1.591954,0.483691,-0.566266,-1.628062,0.009469,0.099298,0.309257,0.899114,0.887038,0.254375,-0.328526,0.160357,-2.54722,-1.263436,-0.44782,-0.605283,1.091456,0.000573,yes
-9.099045,-1.841189,-5.653081,-2.902708,-0.888815,0.144866,-4.896858,4.012988,-0.638971,-6.834183,-7.054069,-11.01405,26.34482,0.155435,0.431112,1.237725,0.656,-0.822121,-1.553925,0.206192,-2.894011,-1.032057,0.649519,-1.13901,-0.681747,0.007331,0.113974,0.245582,0.569851,0.459389,0.385344,0.359074,0.325145,-1.500045,-0.683881,-0.490509,-0.115402,1.353978,0.000155,yes
-9.053647,-0.819563,-2.765694,-2.244289,-4.967412,-5.694919,-7.213713,-8.812792,-9.266845,-6.758465,-8.146599,-11.63393,26.33417,0.244616,0.781516,1.798904,1.345674,0.429719,-0.506323,0.272222,-3.89195,-2.741161,-1.239394,-2.2818,0.253467,0.006882,0.077924,0.018929,-0.096959,0.013138,0.440478,0.810813,0.650645,0.73397,0.498432,-0.225509,0.393651,1.118869,0.001333,yes
-8.575002,-0.827396,-2.57911,-0.915861,-2.306149,-2.390187,-3.756976,-4.004959,-4.857724,-5.066423,-7.28423,-10.64631,26.35486,0.350357,0.661308,1.171967,0.977818,0.418688,0.515785,1.523989,-0.397961,-0.343108,0.195264,0.454354,1.999971,0.010843,-0.145695,-0.345897,-0.847482,-0.428956,0.054692,0.319359,0.584296,1.545058,0.291119,-0.134962,0.740972,0.845086,0.001008,yes
-8.516638,0.119816,-1.720606,-0.668727,-2.37334,-2.400272,-3.47078,-4.37497,-8.006055,-10.07862,-9.732828,-6.134848,26.36681,0.186649,0.120134,-0.022218,0.17901,0.433079,0.832552,1.796589,2.164872,0.555733,-0.416724,0.605309,2.625424,0.014376,-0.232648,-0.498272,-0.960292,-0.508782,-0.178966,-0.069639,0.186213,1.019887,0.267864,0.073312,0.442302,-0.115076,-0.000547,yes
